fecha,currency,rate_to_mxn
2025-04-01,USD,17.6958
2025-04-01,EUR,20.377
2025-04-02,USD,17.6524
2025-04-02,EUR,20.4385
2025-04-03,USD,17.6609
2025-04-03,EUR,20.6359
2025-04-04,USD,17.534
2025-04-04,EUR,20.6578
2025-04-05,USD,17.5615
2025-04-05,EUR,20.6034
2025-04-06,USD,17.7066
2025-04-06,EUR,20.5424
2025-04-07,USD,17.6792
2025-04-07,EUR,20.6217
2025-04-08,USD,17.5857
2025-04-08,EUR,21.0026
2025-04-09,USD,17.6434
2025-04-09,EUR,21.239
2025-04-10,USD,17.6379
2025-04-10,EUR,21.2914
2025-04-11,USD,17.5842
2025-04-11,EUR,21.3475
2025-04-12,USD,17.6636
2025-04-12,EUR,21.3021
2025-04-13,USD,17.5491
2025-04-13,EUR,21.3588
2025-04-14,USD,17.4845
2025-04-14,EUR,21.3862
2025-04-15,USD,17.4789
2025-04-15,EUR,21.2333
2025-04-16,USD,17.5585
2025-04-16,EUR,21.4016
2025-04-17,USD,17.5033
2025-04-17,EUR,21.5768
2025-04-18,USD,17.4612
2025-04-18,EUR,21.6122
2025-04-19,USD,17.4587
2025-04-19,EUR,21.7849
2025-04-20,USD,17.5197
2025-04-20,EUR,21.9307
2025-04-21,USD,17.485
2025-04-21,EUR,21.7912
2025-04-22,USD,17.4804
2025-04-22,EUR,21.6922
2025-04-23,USD,17.6037
2025-04-23,EUR,21.7207
2025-04-24,USD,17.5835
2025-04-24,EUR,21.7329
2025-04-25,USD,17.6666
2025-04-25,EUR,21.6151
2025-04-26,USD,17.747
2025-04-26,EUR,21.5594
2025-04-27,USD,17.828
2025-04-27,EUR,21.5795
2025-04-28,USD,17.7175
2025-04-28,EUR,21.7049
2025-04-29,USD,17.5984
2025-04-29,EUR,21.7637
2025-04-30,USD,17.7709
2025-04-30,EUR,21.9124
2025-05-01,USD,17.7165
2025-05-01,EUR,21.6192
2025-05-02,USD,17.7502
2025-05-02,EUR,21.9227
2025-05-03,USD,17.7589
2025-05-03,EUR,21.8398
2025-05-04,USD,17.6862
2025-05-04,EUR,21.7642
2025-05-05,USD,17.5546
2025-05-05,EUR,21.7603
2025-05-06,USD,17.4701
2025-05-06,EUR,21.6787
2025-05-07,USD,17.5082
2025-05-07,EUR,21.6786
2025-05-08,USD,17.4829
2025-05-08,EUR,21.6356
2025-05-09,USD,17.3976
2025-05-09,EUR,21.6125
2025-05-10,USD,17.4491
2025-05-10,EUR,21.533
2025-05-11,USD,17.4627
2025-05-11,EUR,21.6053
2025-05-12,USD,17.5323
2025-05-12,EUR,21.5523
2025-05-13,USD,17.5038
2025-05-13,EUR,21.4671
2025-05-14,USD,17.4332
2025-05-14,EUR,21.4006
2025-05-15,USD,17.508
2025-05-15,EUR,21.6292
2025-05-16,USD,17.4852
2025-05-16,EUR,21.6723
2025-05-17,USD,17.4088
2025-05-17,EUR,21.7436
2025-05-18,USD,17.428
2025-05-18,EUR,21.8651
2025-05-19,USD,17.3143
