venta_id,fecha_hora,tienda_id,sku,cantidad,monto,moneda,tipo_comprobante
V00000000,2024-10-01 08:24:57,T033,CN-00015,1,355.43,MXN,I
V00000001,2024-10-01 14:33:59,T028,CN-00001,1,75.69,MXN,I
V00000002,2024-10-01 14:27:04,T013,CN-00047,1,512.68,MXN,I
V00000003,2024-10-01 17:42:54,T040,CN-00041,1,80.08,MXN,I
V00000004,2024-10-01 10:42:26,T033,CN-00040,1,54.34,MXN,I
V00000005,2024-10-01 10:12:26,T036,CN-00017,1,160.86,MXN,I
V00000006,2024-10-01 07:25:35,T012,CN-00039,1,782.17,MXN,I
V00000007,2024-10-01 16:50:37,T014,CN-00056,1,16.11,MXN,I
V00000008,2024-10-01 11:43:13,T029,CN-00057,1,190.22,MXN,I
V00000009,2024-10-01 10:18:32,T011,CN-00011,1,28.9,MXN,I
V00000010,2024-10-01 10:43:19,T006,CN-00031,1,525.91,MXN,I
V00000011,2024-10-01 15:15:30,T002,CN-00006,1,205.31,MXN,I
V00000012,2024-10-01 13:56:40,T030,CN-00054,1,116.56,MXN,I
V00000013,2024-10-01 10:25:15,T025,CN-00064,1,86.0,MXN,I
V00000014,2024-10-01 10:14:11,T007,CN-00055,1,636.46,MXN,I
V00000015,2024-10-01 16:35:15,T030,CN-00007,1,243.88,MXN,I
V00000016,2024-10-01 08:42:33,T009,CN-00060,1,197.38,MXN,E
V00000017,2024-10-01 12:27:53,T029,CN-00065,1,200.75,MXN,I
V00000018,2024-10-01 12:28:16,T011,CN-00061,1,302.83,MXN,I
V00000019,2024-10-01 14:31:40,T018,CN-00067,1,290.77,MXN,I
V00000020,2024-10-01 21:17:21,T019,CN-00031,1,541.24,MXN,I
V00000021,2024-10-01 17:14:24,T009,CN-00020,1,611.49,MXN,I
V00000022,2024-10-01 13:26:21,T005,CN-00054,5,568.38,MXN,I
V00000023,2024-10-01 16:24:57,T014,CN-00054,3,356.21,MXN,I
V00000024,2024-10-01 08:30:00,T002,CN-00049,1,86.32,MXN,I
V00000025,2024-10-01 07:34:47,T025,CN-00054,1,117.34,MXN,I
V00000026,2024-10-01 07:14:17,T015,CN-00063,2,163.12,MXN,I
V00000027,2024-10-01 09:46:10,T022,CN-00052,1,175.76,MXN,I
V00000028,2024-10-01 15:01:58,T040,CN-00069,1,365.01,MXN,I
V00000029,2024-10-01 16:41:27,T002,CN-00011,1,28.53,MXN,I
V00000030,2024-10-01 12:24:20,T004,CN-00034,2,213.75,MXN,I
V00000031,2024-10-01 10:48:53,T025,CN-00036,1,323.26,MXN,I
V00000032,2024-10-01 07:47:34,T031,CN-00003,2,335.86,MXN,I
V00000033,2024-10-01 17:49:41,T015,CN-00009,1,593.34,MXN,I
V00000034,2024-10-01 17:53:01,T016,CN-00026,1,152.04,MXN,I
V00000035,2024-10-01 09:36:13,T031,CN-00015,1,355.47,MXN,I
V00000036,2024-10-01 08:38:38,T024,CN-00022,3,519.18,MXN,E
V00000037,2024-10-01 12:06:37,T011,CN-00040,1,52.62,MXN,I
V00000038,2024-10-01 18:45:12,T025,CN-00051,2,983.29,MXN,I
